,,,tripduration,tripduration,tripduration,tripduration,tripduration
E 2 St & 2 Ave,40.72502876,-73.99069656,3360,2372652,105189,60,706.1464285714286
E 2 St & Avenue B,40.72217444,-73.98368779,3345,2416640,81155,62,722.4633781763827
E 2 St & Avenue C,40.720873600000004,-73.98085795,3152,2308318,240377,60,732.3343908629441
E 20 St & 2 Ave,40.73587678,-73.98205027,4437,3383925,278555,60,762.6605814739689
E 20 St & FDR Drive,40.73314259,-73.97573881,3669,3071398,69871,60,837.1212864540747
E 20 St & Park Ave,40.73827428,-73.98751968,4466,2714033,59696,65,607.7100313479624
E 23 St & 1 Ave,40.736502,-73.97809472,4431,3129190,122800,63,706.2040171518845
E 24 St & Park Ave S,40.74096374,-73.98602213,2265,1400592,21227,69,618.3629139072848
E 25 St & 1 Ave,40.7381765,-73.97738662,3255,2846284,400680,61,874.4344086021505
E 25 St & 2 Ave,40.73912601,-73.97973776,3318,2313123,67352,61,697.1437613019891
E 27 St & 1 Ave,40.739445,-73.97680600000001,2811,1978364,25800,60,703.7936677339026
E 3 St & 1 Ave,40.72467721,-73.98783413,4618,3561031,416590,60,771.1197488090082
E 30 St & Park Ave S,40.74444921,-73.98303529,3897,2244533,16392,62,575.9643315370798
E 31 St & 3 Ave,40.74394314,-73.97966069,3953,2559106,47078,60,647.3832532253984
E 32 St & Park Ave,40.745712100000006,-73.98194829,5908,3503055,63694,64,592.9341570751524
E 33 St & 1 Ave,40.74315566,-73.97434726,4487,3047220,59226,61,679.1219077334522
E 33 St & 5 Ave,40.74765947,-73.98490707,4244,3140386,158284,60,739.959000942507
E 37 St & Lexington Ave,40.748238,-73.978311,2563,1856391,49623,66,724.3039406944986
E 39 St & 2 Ave,40.74780373,-73.97344190000001,5219,3673852,24862,60,703.9379191415981
E 39 St & 3 Ave,40.7489006,-73.97604882,4157,3016836,80203,66,725.7243204233822
E 4 St & 2 Ave,40.726280700000004,-73.98978041,3984,2800156,74711,61,702.8504016064257
E 40 St & 5 Ave,40.752062306999996,-73.9816324043,4548,2988829,79442,65,657.17436235708
E 41 St & Madison Ave,40.752140999999995,-73.979782,2605,1833106,14266,69,703.6875239923224
E 42 St & Vanderbilt Ave,40.752416,-73.97837,5208,3608048,21330,60,692.78955453149
E 43 St & 2 Ave,40.75022392,-73.97121414,1456,1213320,51788,77,833.3241758241758
E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,7511,5150566,101765,60,685.7363866329383
E 45 St & 3 Ave,40.75255434,-73.97282625,2612,1767727,14713,66,676.771439509954
E 47 St & 1 Ave,40.75206862,-73.96784384,1557,1245903,45264,72,800.194605009634
E 47 St & 2 Ave,40.75323098,-73.97032517,2410,1785351,52115,60,740.8095435684647
E 47 St & Park Ave,40.75510267,-73.97498696,4087,2749839,83618,60,672.8257890873501
E 48 St & 3 Ave,40.7546011026,-73.971878855,2872,2476109,53486,61,862.1549442896936
E 5 St & Avenue C,40.72299208,-73.97995466,2591,1972271,85939,60,761.2006947124662
E 51 St & 1 Ave,40.75455731,-73.96592976,1787,1459803,21398,60,816.9015109121433
E 51 St & Lexington Ave,40.75714758,-73.97207836,2450,2137494,179071,61,872.4465306122449
E 52 St & 2 Ave,40.756014,-73.967416,1663,1336079,38143,62,803.414912808178
E 53 St & Lexington Ave,40.75828065,-73.97069431,2309,2080461,335102,60,901.0225205716761
E 53 St & Madison Ave,40.75971079999999,-73.97402311,2317,1867325,65781,66,805.9236081139404
E 55 St & 2 Ave,40.75797322,-73.96603308,1854,1428780,35966,60,770.6472491909385
E 55 St & Lexington Ave,40.75968085,-73.97031366,1486,1236314,73786,60,831.9744279946165
E 56 St & 3 Ave,40.75934501,-73.96759673,1516,1365054,12397,66,900.4313984168865
E 56 St & Madison Ave,40.761628,-73.972924,2560,1913251,13334,64,747.363671875
E 58 St & 3 Ave,40.76095756,-73.96724467,3496,3498036,69363,60,1000.5823798627002
E 59 St & Sutton Pl,40.75849116,-73.95920622,1741,1805066,21902,60,1036.7983917288914
E 6 St & Avenue B,40.72453734,-73.98185424,3115,2135471,53479,64,685.5444622792937
E 6 St & Avenue D,40.72228087,-73.97668709,1410,1143282,12895,67,810.8382978723404
E 7 St & Avenue A,40.72621788,-73.98379855,4461,2775589,33164,62,622.1898677426586
E 9 St & Avenue C,40.72521311,-73.97768752,3792,3021384,150199,60,796.7784810126582
Elizabeth St & Hester St,40.717290000000006,-73.996375,3557,2766549,29271,65,777.775934776497
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,636,1031066,267107,67,1621.1729559748428
FDR Drive & E 35 St,40.744219,-73.97121214,2044,1835880,39664,61,898.1800391389432
Flushing Ave & Carlton Ave,40.69788349,-73.97350332,476,347085,3395,74,729.1701680672269
Forsyth St & Broome St,40.71893904,-73.99266288,3368,2355585,99695,61,699.4017220902613
Forsyth St & Canal St,40.715815500000005,-73.99422366,2396,1896352,56114,60,791.4657762938231
Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,257,200769,3715,60,781.2023346303502
Franklin St & W Broadway,40.71911552,-74.00666661,2261,1900936,198073,60,840.750110570544
Front St & Gold St,40.70224,-73.982578,468,355598,16016,60,759.8247863247864
Front St & Maiden Ln,40.70530954,-74.00612572,1576,1554113,89692,69,986.1123096446701
Front St & Washington St,40.70255088,-73.98940236,1494,1520036,74734,67,1017.4270414993307
Fulton St & Clermont Ave,40.68415748,-73.96922273,512,410273,14664,64,801.314453125
Fulton St & Grand Ave,40.68223166,-73.9614583,752,738266,71925,68,981.7367021276596
Fulton St & Rockwell Pl,40.687979,-73.978474,920,542926,6734,66,590.1369565217391
Fulton St & Waverly Ave,40.68317813,-73.9659641,1002,1185377,223687,64,1183.0109780439122
Fulton St & William St,40.70955958,-74.00653609,2247,1506011,79499,60,670.2318647085002
Gallatin Pl & Livingston St,40.69028437,-73.98707105,378,314449,34338,79,831.8756613756614
Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,3653,4737176,172523,61,1296.790583082398
Grand St & Greene St,40.72165481,-74.00234737,2375,2033047,43305,65,856.0197894736842
Grand St & Havemeyer St,40.71286844,-73.95698119,630,745621,12339,82,1183.525396825397
Great Jones St,40.72743423,-73.99379025,5402,3472891,145575,60,642.8898556090337
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,6628,4640706,152904,60,700.1668678334339
Greenwich Ave & Charles St,40.735238,-74.000271,2774,1858083,97986,60,669.8208363374189
Greenwich St & N Moore St,40.72043411,-74.01020609,3866,2604749,76107,67,673.7581479565442
Greenwich St & Warren St,40.71542197,-74.01121978,4293,3228005,119444,62,751.9228977405078
Hancock St & Bedford Ave,40.68216564,-73.95399026,402,340668,5811,87,847.4328358208955
Hanover Pl & Livingston St,40.68864636,-73.98263429,194,171330,17962,73,883.1443298969073
Harrison St & Hudson St,40.71870987,-74.0090009,1662,1401829,46032,63,843.4590854392299
Henry St & Atlantic Ave,40.69089272,-73.99612349,1449,1148697,67450,61,792.7515527950311
Henry St & Grand St,40.714215,-73.981346,3223,2140080,19949,60,664.0024821594787
Henry St & Poplar St,40.700469,-73.991454,684,697733,74852,64,1020.077485380117
Hicks St & Montague St,40.69512845,-73.99595065,1281,878273,46752,69,685.6151444184231
Howard St & Centre St,40.71910537,-73.99973337,3047,2438195,156323,63,800.1952740400394
Hudson St & Reade St,40.71625008,-74.0091059,2091,1245474,13607,66,595.635581061693
Jay St & Tech Pl,40.695065,-73.987167,1127,1190819,89703,60,1056.6273291925465
John St & William St,40.70862144,-74.00722156,2310,1661301,84059,61,719.1779220779221
Johnson St & Gold St,40.69474881,-73.98362464,1060,815994,28823,60,769.8056603773584
Joralemon St & Adams St,40.69246277,-73.98963911,2201,1980639,297453,67,899.881417537483
Kent Ave & S 11 St,40.70827295,-73.96834101,561,604014,39455,83,1076.673796791444
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,4708,3367401,280727,62,715.2508496176721
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,691,605580,67081,62,876.3820549927641
Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1008,1248737,472276,68,1238.826388888889
Lafayette Ave & St James Pl,40.68851534,-73.9647628,681,410661,9274,62,603.0264317180616
Lafayette St & E 8 St,40.73028666,-73.9907647,11200,6914259,191392,63,617.3445535714286
Lafayette St & Jersey St,40.72456089,-73.99565293,1846,1191045,11693,61,645.203141928494
Laight St & Hudson St,40.72185379,-74.00771779,837,615633,12264,64,735.5232974910394
Lawrence St & Willoughby St,40.69236178,-73.98631746,4253,2897625,191812,64,681.3131906889255
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,639,536365,29014,131,839.3818466353678
Leonard St & Church St,40.717571,-74.005549,838,589958,16313,69,704.0071599045347
Lexington Ave & Classon Ave,40.68676793,-73.95928168,439,463609,91934,73,1056.0569476082005
Lexington Ave & E 24 St,40.74025878,-73.98409214,5774,3835535,21889,62,664.2769310703152
Lexington Ave & E 26 St,40.74147286,-73.98320928,5625,3568681,34286,60,634.4321777777777
Liberty St & Broadway,40.70905623,-74.01043382,3262,2851634,314391,61,874.1980380134887
Lispenard St & Broadway,40.71939226,-74.00247214,2889,1854849,34402,61,642.0384215991693
Little West St & 1 Pl,40.70569254,-74.01677685,1566,1712745,305560,75,1093.7068965517242
MacDougal St & Prince St,40.72710258,-74.00297088,5249,4117943,266270,60,784.5195275290531
MacDougal St & Washington Sq,40.73226398,-73.99852205,2693,2315309,585281,63,859.750835499443
Macon St & Nostrand Ave,40.6809833854,-73.9500479759,467,394157,5382,99,844.0192719486081
Madison St & Clinton St,40.71269042,-73.98776323,1786,1264801,31290,64,708.1752519596864
Madison St & Montgomery St,40.713126,-73.984844,1729,1388430,167187,63,803.0248698669751
Maiden Ln & Pearl St,40.70706456,-74.00731853,2897,1885548,20937,60,650.8622713151536
Market St & Cherry St,40.71076228,-73.99400398,987,760111,31894,87,770.1225937183384
Mercer St & Bleecker St,40.72679454,-73.99695094,4942,3764022,413463,60,761.6394172399838
Mercer St & Spring St,40.72362738,-73.99949601,2803,2116018,14435,61,754.9118801284338
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,1419,1631012,134792,64,1149.4094432699085
Monroe St & Bedford Ave,40.6851443,-73.95380904,671,450272,8303,64,671.0461997019374
Monroe St & Classon Ave,40.684568299999995,-73.95881081,357,322758,29604,99,904.0840336134454
Montague St & Clinton St,40.69424674,-73.99215922,486,639040,265790,68,1314.897119341564
Mott St & Prince St,40.72317958,-73.99480012,4125,2921306,70622,61,708.195393939394
Murray St & West St,40.7149787,-74.013012,2244,1685867,19589,62,751.2776292335116
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,447,235148,7956,71,526.0581655480985
Nassau St & Navy St,40.69839895,-73.98068914,375,407672,12007,64,1087.1253333333334
Norfolk St & Broome St,40.7172274,-73.98802084,2660,1631701,43912,63,613.4214285714286
Old Fulton St,40.70277159,-73.99383605,729,1037060,107639,60,1422.5788751714679
Old Slip & Front St,40.703799200000006,-74.00838676,1631,1570636,11871,71,962.9895769466585
Park Ave & St Edwards St,40.69608941,-73.97803415,257,161373,3019,62,627.9105058365759
Park Pl & Church St,40.71336124,-74.00937622,2458,1951632,196235,65,793.9918633034988
Pearl St & Anchorage Pl,40.70281858,-73.98765762,905,884202,47347,62,977.0187845303867
Pearl St & Hanover Square,40.7047177,-74.00926027,2029,1778009,98808,72,876.2981764415969
Perry St & Bleecker St,40.73535398,-74.00483091,2546,1745598,9655,64,685.623723487824
Pershing Square N,40.75188406,-73.97770164,6353,4744437,247090,61,746.8026129387691
Pershing Square S,40.75149263,-73.97798848,3058,2455202,140707,60,802.8783518639634
Pike St & E Broadway,40.71406667,-73.99293911,2500,1604883,25726,60,641.9532
Pike St & Monroe St,40.71173107,-73.99193043,1128,843732,11161,60,747.9893617021277
Pitt St & Stanton St,40.71926081,-73.98178024,960,782394,18097,61,814.99375
Railroad Ave & Kay Ave,40.70531194,-73.97100056,136,123641,2281,147,909.125
Reade St & Broadway,40.71450451,-74.00562789,2406,1531837,10336,67,636.6737323358271
Rivington St & Chrystie St,40.72110063,-73.99192540000001,2163,1622660,120330,61,750.1895515487748
Rivington St & Ridge St,40.71850211,-73.98329859,1841,1430905,83669,75,777.2433460076046
S 3 St & Bedford Ave,40.71260486,-73.96264403,631,764829,65104,67,1212.0903328050713
S 4 St & Wythe Ave,40.71285887,-73.96590294,744,788665,99778,62,1060.0336021505377
S 5 Pl & S 4 St,40.710451,-73.960876,1729,2026590,27188,61,1172.116830537883
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,597,1697312,766108,81,2843.0686767169177
Sands St & Gold St,40.69986937,-73.98271933,472,417071,9914,72,883.625
Shevchenko Pl & E 6 St,40.728145,-73.990214,3739,2289412,95285,60,612.3059641615405
South End Ave & Liberty St,40.711512,-74.01575600000001,3381,2663318,53239,60,787.7308488612837
South St & Gouverneur Ln,40.70355377,-74.00670227,1321,1609410,108595,78,1218.327024981075
South St & Whitehall St,40.70122128,-74.01234218,1186,1490797,35831,68,1256.995784148398
Spruce St & Nassau St,40.71146364,-74.00552427,1834,1327233,24153,66,723.6821155943294
St James Pl & Oliver St,40.71307916,-73.99851193,1926,1527501,82895,60,793.0950155763239
St James Pl & Pearl St,40.71117416,-74.00016545,1215,1164895,170187,60,958.761316872428
St Marks Pl & 1 Ave,40.72779126,-73.98564945,3817,2666134,31317,61,698.4893895729631
St Marks Pl & 2 Ave,40.7284186,-73.98713956,4972,3737459,112106,60,751.7013274336283
Stanton St & Chrystie St,40.72229346,-73.99147535,2999,1875376,19888,60,625.3337779259754
Stanton St & Mangin St,40.71782143,-73.97628939,1407,1200275,17235,65,853.0739161336177
State St,40.70251526,-74.01427023,1274,1546509,75285,61,1213.9003139717424
State St & Smith St,40.68926942,-73.98912867,1644,1544834,77930,64,939.6800486618005
Suffolk St & Stanton St,40.72066442,-73.98517977,4363,3108198,37292,60,712.3992665597066
Sullivan St & Washington Sq,40.73047747,-73.99906065,3021,1984095,71455,62,656.7676266137041
University Pl & E 14 St,40.73492695,-73.99200509,6371,4314498,152376,60,677.2089153978967
Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3946,3171031,119214,61,803.6064368981247
W 11 St & 6 Ave,40.73532427,-73.99800419,2740,1874442,54787,60,684.1029197080292
W 13 St & 5 Ave,40.73543934,-73.99453948,725,433443,5205,76,597.8524137931034
W 13 St & 6 Ave,40.73649403,-73.99704374,5306,3492578,55476,61,658.2318130418395
W 13 St & 7 Ave,40.73781509,-73.99994661,3437,2314132,188276,60,673.2999709048589
W 14 St & The High Line,40.74195138,-74.00803013,1592,2006530,361731,64,1260.3831658291458
W 15 St & 7 Ave,40.73935542,-73.99931783,4348,2818512,105205,61,648.2318307267709
W 16 St & The High Line,40.74334935,-74.00681753,4085,2851785,60758,61,698.1113831089351
W 17 St & 8 Ave,40.74177603,-74.00149746,5908,3614138,58231,60,611.7362897765742
W 18 St & 6 Ave,40.73971301,-73.99456405,6302,4455193,213725,61,706.9490637892733
W 20 St & 11 Ave,40.746745000000004,-74.007756,3744,3122799,69294,61,834.0809294871794
W 20 St & 7 Ave,40.74238787,-73.99726235,4281,2689454,69367,63,628.2303200186872
W 20 St & 8 Ave,40.74345335,-74.00004031,3017,2309427,210111,61,765.4713291349022
W 21 St & 6 Ave,40.74173969,-73.99415556,9777,6874874,348436,62,703.1680474583205
W 22 St & 10 Ave,40.74691959,-74.00451887,4938,4450117,471147,61,901.1982584042122
W 22 St & 8 Ave,40.74475148,-73.99915362,4515,2927122,47686,60,648.3105204872646
W 24 St & 7 Ave,40.74487634,-73.99529885,5235,3334195,83350,60,636.9044890162369
W 25 St & 6 Ave,40.74395411,-73.99144871,4500,2785637,52166,61,619.0304444444445
W 26 St & 10 Ave,40.749717753,-74.002950346,3856,2954532,42185,62,766.2168049792531
W 26 St & 8 Ave,40.74734825,-73.99723551,4396,2972815,193974,60,676.2545495905368
W 27 St & 7 Ave,40.746646999999996,-73.993915,5793,3961192,188021,60,683.7894010012084
W 29 St & 9 Ave,40.750072700000004,-73.99839279,2913,1945547,48987,62,667.8843117061449
W 31 St & 7 Ave,40.749156,-73.9916,7449,4854028,81123,61,651.6348503154786
W 33 St & 7 Ave,40.75019995,-73.99093085,6492,4321147,111354,60,665.6110597658657
W 34 St & 11 Ave,40.75594159,-74.0021163,1786,1657286,112012,60,927.9316909294513
W 37 St & 10 Ave,40.75660359,-73.9979009,3896,2633066,38115,60,675.838295687885
W 37 St & 5 Ave,40.75038009,-73.98338988,3126,2483804,186631,74,794.5630198336532
W 38 St & 8 Ave,40.75466591,-73.99138152,6142,4503459,255191,62,733.2235428199284
W 39 St & 9 Ave,40.75645824,-73.99372222,5924,4676943,221407,60,789.4907157326131
W 4 St & 7 Ave S,40.73401143,-74.00293877,5188,4171447,258833,61,804.0568619892059
W 41 St & 8 Ave,40.75640548,-73.9900262,7653,5742690,534078,63,750.3841630733045
W 42 St & 8 Ave,40.75756989999999,-73.99098507,4355,2879498,33292,65,661.193570608496
W 43 St & 10 Ave,40.76009437,-73.99461843,3779,2876317,80427,61,761.1317808944165
W 43 St & 6 Ave,40.75527307,-73.98316936,2276,3563243,1990440,68,1565.5724956063268
W 44 St & 5 Ave,40.75500254,-73.98014437,2986,2011888,69397,60,673.7736101808439
W 45 St & 6 Ave,40.7568001,-73.98291153,3491,2139541,78186,61,612.8733887138355
W 45 St & 8 Ave,40.75929124,-73.98859651,3352,2363785,52512,60,705.1864558472554
W 46 St & 11 Ave,40.76341379,-73.99667444,1980,1870457,57629,64,944.6752525252525
W 47 St & 10 Ave,40.76269882,-73.99301222,2758,1968457,92607,60,713.726250906454
W 49 St & 5 Ave,40.75795248,-73.97787642,2859,1860778,56531,60,650.8492479888073
W 49 St & 8 Ave,40.76227205,-73.98788205,4248,3052615,137090,61,718.6005178907722
W 51 St & 6 Ave,40.7606597,-73.98042047,3548,2604133,102692,60,733.9720969560316
