,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
1 Ave & E 15 St,40.73221853,-73.98165557,5771,3734048,56659,60,647.0365621209496
1 Ave & E 18 St,40.73416059,-73.98024289,4147,3808091,590196,60,918.2761032071377
1 Ave & E 30 St,40.74144387,-73.97536082,3829,2654423,34255,62,693.2418386001567
1 Ave & E 44 St,40.75001986,-73.96905301,2599,2009599,68325,61,773.2200846479415
10 Ave & W 28 St,40.75066386,-74.00176802,2835,2872490,813179,64,1013.2239858906526
11 Ave & W 27 St,40.751396,-74.00522600000001,2833,1928561,17251,64,680.7486763148605
11 Ave & W 41 St,40.76030096,-73.99884222,3426,2748474,82450,61,802.2399299474606
12 Ave & W 40 St,40.76087502,-74.00277668,2456,3114412,234563,62,1268.0830618892508
2 Ave & E 31 St,40.74290902,-73.97706058,5569,3916574,158479,62,703.2813790626683
2 Ave & E 58 St,40.76020258,-73.96478473,2434,2167851,31226,64,890.6536565324568
3 Ave & Schermerhorn St,40.68683208,-73.9796772,438,354002,66977,93,808.2237442922375
5 Ave & E 29 St,40.7451677,-73.98683077,4367,2869545,94522,63,657.0975498053584
6 Ave & Broome St,40.724399,-74.004704,2634,1910292,90143,63,725.2437357630979
6 Ave & Canal St,40.72243797,-74.00566443,2273,1848491,19874,61,813.2384513858337
6 Ave & W 33 St,40.74901271,-73.98848395,5148,3587414,171869,61,696.8558663558664
7 Ave & Farragut St,40.69892054,-73.97332996,296,193476,10465,61,653.6351351351351
8 Ave & W 31 St,40.75044999,-73.99481051,10248,7550296,225489,64,736.7580015612803
8 Ave & W 33 St,40.751551,-73.993934,8422,6224025,197350,60,739.0198290192353
8 Ave & W 52 St,40.76370739,-73.9851615,3794,2779897,93100,63,732.7087506589352
9 Ave & W 14 St,40.7405826,-74.00550867,3425,2846563,108955,62,831.1132846715328
9 Ave & W 16 St,40.74206539,-74.00443172,4014,3059787,87364,60,762.2787742899851
9 Ave & W 18 St,40.74317449,-74.00366443,2757,2015517,47585,64,731.0544069640914
9 Ave & W 22 St,40.7454973,-74.00197139,5066,3326092,50085,60,656.5519147256218
9 Ave & W 45 St,40.76019252,-73.9912551,3996,2915669,55294,60,729.6468968968969
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1683,894887,19634,78,531.721330956625
Allen St & E Houston St,40.722055,-73.989111,4265,2860067,102370,60,670.5901524032826
Allen St & Hester St,40.71605866,-73.99190759,3882,2703548,89181,62,696.4317362184441
Allen St & Rivington St,40.72019576,-73.98997825,4426,3162517,52220,61,714.5316312697695
Ashland Pl & Hanson Pl,40.68528172,-73.97805813,2185,1506411,117217,70,689.43295194508
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1360,1156390,12802,61,850.2867647058823
Atlantic Ave & Furman St,40.69165183,-73.99997859999999,710,891644,16090,67,1255.8366197183097
Avenue D & E 12 St,40.72580614,-73.97422494,371,370287,49891,98,998.0781671159029
Avenue D & E 3 St,40.72082834,-73.97793172,1827,1578460,87860,63,863.9627805145046
Avenue D & E 8 St,40.72368361,-73.97574813,1138,1418410,495511,60,1246.4059753954307
Bank St & Hudson St,40.73652889,-74.00618026,3224,2534360,60777,62,786.091811414392
Bank St & Washington St,40.7361967,-74.00859207,2487,2037432,115051,63,819.232810615199
Barclay St & Church St,40.71291224,-74.01020234,5237,3529255,111983,61,673.9077716249761
Barrow St & Hudson St,40.73172428,-74.00674436,4501,3258106,53295,61,723.8626971784048
Bayard St & Baxter St,40.71602118,-73.99974372,3205,2399541,107886,63,748.6867394695788
Bedford Ave & S 9th St,40.70853074,-73.96408963,171,147683,2487,60,863.6432748538011
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1794,1382305,12138,60,770.515607580825
Bond St & Schermerhorn St,40.68807003,-73.98410637,1125,970963,75803,85,863.0782222222222
Broad St & Bridge St,40.70365182,-74.01167797,1304,1385334,65099,62,1062.372699386503
Broadway & Battery Pl,40.70463334,-74.01361706,2430,2321073,88895,61,955.174074074074
Broadway & Berry St,40.71044554,-73.96525063,610,768212,116348,70,1259.3639344262294
Broadway & E 14 St,40.73454567,-73.99074142,7630,4783732,49634,60,626.9635648754914
Broadway & E 22 St,40.740343200000005,-73.98955109,7183,5099755,439203,61,709.9756369205068
Broadway & W 24 St,40.742354299999995,-73.98915076,6854,5092003,68990,60,742.924277793989
Broadway & W 29 St,40.7462009,-73.98855723,3983,2615956,113989,62,656.7803163444639
Broadway & W 32 St,40.74854862,-73.98808416,4983,3306407,95208,62,663.5374272526591
Broadway & W 36 St,40.75097711,-73.98765428,2440,1693071,55137,60,693.8815573770491
Broadway & W 37 St,40.75172632,-73.98753523,1960,1247219,11268,60,636.3362244897959
Broadway & W 39 St,40.75299641,-73.98721619,2516,1697041,27618,62,674.4996025437202
Broadway & W 41 St,40.75513557,-73.98658032,4241,2789918,32259,61,657.8443763263381
Broadway & W 49 St,40.76064679,-73.98442659,4150,2781930,48052,60,670.344578313253
Broadway & W 51 St,40.76228826,-73.98336183,3411,3208070,497408,60,940.5071826443858
Broadway & W 53 St,40.76344058,-73.98268129,2374,1719384,41622,62,724.2561078348779
Broadway & W 55 St,40.7652654,-73.98192338,2894,2142673,61153,60,740.384588804423
Broadway & W 58 St,40.76695317,-73.98169333,4779,4395895,48836,60,919.8357396944967
Broadway & W 60 St,40.76915505,-73.98191841,5080,5477362,114526,60,1078.2208661417324
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,167,118414,8456,84,709.065868263473
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,538,396799,14127,64,737.5446096654275
Cadman Plaza West & Montague St,40.69383,-73.990539,1081,754088,9538,67,697.5837187789084
Canal St & Rutgers St,40.71427487,-73.98990025,4031,2831077,252607,67,702.3262217811957
Carlton Ave & Park Ave,40.69580705,-73.97355569,338,285959,35099,139,846.0325443786983
Carmine St & 6 Ave,40.73038599,-74.00214988,5334,4529954,509750,60,849.260217472816
Catherine St & Monroe St,40.71117444,-73.99682619,1717,1366392,91579,64,795.8019801980198
Central Park S & 6 Ave,40.76590936,-73.97634151,1959,3393983,72598,65,1732.507912200102
Centre St & Chambers St,40.71273266,-74.0046073,4140,3932631,181580,61,949.9108695652174
Centre St & Worth St,40.71494807,-74.00234482,2171,1689620,87756,62,778.2680792261631
Cherry St,40.71219906,-73.97948148,1262,1281558,13042,62,1015.4976228209192
Christopher St & Greenwich St,40.73291553,-74.00711384,5932,5136607,242711,63,865.9148685097775
Church St & Leonard St,40.71743998,-74.00583475,710,466105,17401,67,656.4859154929577
Clark St & Henry St,40.69760127,-73.99344559,1358,973683,85688,62,716.9977908689249
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,651,495867,58588,77,761.7004608294931
Clermont Ave & Park Ave,40.69573398,-73.97129668,507,599880,177222,96,1183.1952662721894
Cleveland Pl & Spring St,40.7218158,-73.99720307,6732,4686194,68359,60,696.1072489601902
Cliff St & Fulton St,40.70823502,-74.00530063,3013,2260085,56706,60,750.1111848655825
Clinton Ave & Flushing Ave,40.69794,-73.96986848,567,779824,165980,72,1375.3509700176367
Clinton Ave & Myrtle Ave,40.693261,-73.968896,1900,1163779,14246,63,612.5152631578948
Clinton St & Grand St,40.71559509,-73.9870295,2360,1672703,126330,61,708.7724576271187
Clinton St & Joralemon St,40.69239502,-73.99337909,862,650165,20596,82,754.2517401392112
Clinton St & Tillary St,40.696191999999996,-73.991218,768,675343,10894,60,879.3528645833334
Columbia Heights & Cranberry St,40.70037867,-73.99548059,416,359678,7780,61,864.6105769230769
Columbia St & Rivington St,40.71739973,-73.98016555,1981,1494342,54080,60,754.3372034326098
Concord St & Bridge St,40.69766564,-73.98476437,375,289475,13987,70,771.9333333333333
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1533,1274452,294775,67,831.3450750163079
DeKalb Ave & Hudson Ave,40.689888,-73.981013,1641,909944,47098,63,554.5057891529555
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,823,453073,12081,65,550.5139732685298
DeKalb Ave & Skillman St,40.6906495,-73.95643107,482,420865,7764,87,873.1639004149378
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,917,588969,43227,70,642.278080697928
Dean St & 4 Ave,40.68312489,-73.97895137,1283,1574138,76420,64,1226.9197194076382
Division St & Bowery,40.71413089,-73.99704679999999,2576,2144391,214137,64,832.4499223602485
Duane St & Greenwich St,40.71748752,-74.0104554,1660,1509560,291198,60,909.3734939759037
Duffield St & Willoughby St,40.69221589,-73.9842844,903,618875,33089,64,685.3543743078627
E 10 St & 5 Ave,40.73331967,-73.99510132,3316,2203634,59398,61,664.5458383594693
E 10 St & Avenue A,40.72740794,-73.98142006,4598,3143835,32479,61,683.7396694214876
E 11 St & 1 Ave,40.72953837,-73.98426726,4549,3207839,92042,60,705.1745438557925
E 11 St & 2 Ave,40.73047309,-73.98672378,4671,3107980,53506,60,665.3778634125455
E 11 St & Broadway,40.73261787,-73.99158043,3144,1913013,32021,62,608.4646946564885
E 12 St & 3 Ave,40.73223272,-73.98889957,4493,2814712,71635,60,626.4660583129312
E 13 St & Avenue A,40.72955361,-73.98057249,4348,3092617,55483,63,711.2734590616375
E 14 St & Avenue B,40.72938685,-73.97772429,3540,2650127,35813,60,748.6234463276836
E 15 St & 3 Ave,40.734232,-73.986923,4003,2657982,51040,60,663.9975018735948
E 16 St & 5 Ave,40.73726186,-73.99238967,4463,3079652,158742,60,690.0407797445664
E 16 St & Irving Pl,40.73524276,-73.98758561,3307,2123334,17005,62,642.0725733293015
E 17 St & Broadway,40.73704984,-73.99009296,9324,6284929,92534,61,674.0593093093094
E 19 St & 3 Ave,40.73624527,-73.98473765,3429,2282392,87537,63,665.6144648585594
