,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
1 Ave & E 110 St,40.7923272,-73.9383,2449,2360820,770998,61,963.9934667211106
1 Ave & E 16 St,40.73221853,-73.98165557,14002,10707205,1630514,61,764.6911155549208
1 Ave & E 18 St,40.73381219196632,-73.9805442094803,10769,6826843,86418,61,633.9347200297149
1 Ave & E 30 St,40.74144387,-73.97536082,7855,5735468,168792,61,730.1677912157861
1 Ave & E 44 St,40.75001986,-73.96905301,7026,6609450,501019,61,940.7130657557643
1 Ave & E 62 St,40.761227399999996,-73.96094022,7896,6437422,95156,62,815.2763424518744
1 Ave & E 68 St,40.76500525,-73.95818491,11580,9146610,54497,61,789.8626943005181
1 Ave & E 78 St,40.77140426,-73.9535166,8445,5844948,18488,62,692.1193605683836
1 Ave & E 94 St,40.78172120000001,-73.94594000000001,2803,2315648,76094,67,826.1320014270425
1 Pl & Clinton St,40.6809591,-73.99905709,1775,1049452,6004,63,591.2405633802817
10 Hudson Yards,40.752957,-74.00264,843,897954,270597,84,1065.1886120996442
10 St & 5 Ave,40.6686273,-73.98700053,1204,891873,88428,66,740.7583056478405
10 St & 7 Ave,40.666207799999995,-73.98199886,2201,1375303,58242,62,624.8537028623354
11 Ave & W 27 St,40.751396,-74.00522600000001,9176,8760272,1947736,62,954.6939843068875
11 Ave & W 41 St,40.76030096,-73.99884222,9115,6726082,80152,61,737.9135490948985
11 Ave & W 59 St,40.771496710544405,-73.99046033620834,7905,7350116,52257,61,929.805945604048
11 St & 35 Ave,40.76274420000001,-73.9391141,250,205115,48391,65,820.46
11 St & 43 Ave,40.7519071,-73.94791190000001,413,332102,3719,64,804.1210653753027
12 Ave & W 40 St,40.76087502,-74.00277668,9542,11363167,350712,62,1190.857996227206
12 St & 4 Ave,40.668603000000004,-73.99043940000001,678,792125,187121,68,1168.325958702065
14 St & 5 Ave,40.666287,-73.98895053,1651,1206346,16380,71,730.6759539672926
14 St & 7 Ave,40.663779,-73.98396846,2287,1655991,117101,62,724.0887625710537
19 St & 24 Ave,40.777455200000006,-73.9225403,775,527137,10357,62,680.1767741935483
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,873,1637119,181576,62,1875.2794959908363
2 Ave & 9 St,40.6724811,-73.99331394,635,485411,15578,78,764.4267716535433
2 Ave & E 104 St,40.789210499999996,-73.94370784,2169,1811238,238905,66,835.0567081604426
2 Ave & E 122 St,40.8006721,-73.9349,867,753991,78589,69,869.6551326412919
2 Ave & E 31 St,40.74290902,-73.97706058,10535,7778177,80215,61,738.3177028951116
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3827,2842220,91748,65,742.675725111053
2 Ave & E 96 St,40.7839636,-73.94716729999999,4427,3657100,531625,61,826.0899028687599
2 Ave & E 99 St,40.786258600000004,-73.94552579,1333,979513,49499,62,734.8184546136534
21 St & 31 Dr,40.7659,-73.930819,939,603598,45084,90,642.8093716719915
21 St & 36 Ave,40.760185299999996,-73.9362726,224,140219,3161,91,625.9776785714286
21 St & 38 Ave,40.7576314,-73.9391224,189,140411,4212,113,742.9153439153439
21 St & 43 Ave,40.75052534,-73.94594845,633,483644,11950,73,764.0505529225908
21 St & Hoyt Ave S,40.774645,-73.92370600000001,283,737302,437258,80,2605.3074204946997
21 St & Queens Plaza North,40.75325964,-73.94335788,1578,1174283,23013,64,744.159062103929
23 Ave & 27 St,40.776165,-73.9153175,366,209861,3860,78,573.3907103825137
24 Ave & 26 St,40.774591,-73.918544,828,949312,433848,78,1146.512077294686
24 Ave & 29 St,40.7729,-73.91614200000001,552,320135,8246,68,579.9547101449275
24 St & 41 Ave,40.752708500000004,-73.9397405,1122,804369,6418,67,716.9064171122994
27 Ave & 4 St,40.7747175,-73.93378940000001,215,181291,5438,95,843.2139534883721
27 Ave & 9 St,40.7739825,-73.93091340000001,322,276410,6363,71,858.416149068323
27 St & Hunter St,40.7485,-73.941275,1230,901310,12621,72,732.7723577235772
28 Ave & 35 St,40.7671,-73.9169858,809,518213,15312,68,640.5599505562423
28 Ave & 44 St,40.76408932350689,-73.9106512069702,627,1757224,1372092,108,2802.590111642743
28 St & 36 Ave,40.757186,-73.93271899999999,557,412265,10753,66,740.1526032315978
28 St & 38 Ave,40.754876,-73.934326,840,557077,27789,89,663.1869047619048
28 St & 41 Ave,40.751047,-73.93796999999999,1579,1353115,13535,64,856.9442685243826
3 Ave & 14 St,40.6685455,-73.99333264,915,766210,31638,74,837.3879781420765
3 Ave & E 100 St,40.787721399999995,-73.94728331,751,756683,199100,73,1007.5672436750999
3 Ave & E 112 St,40.795508,-73.94160600000001,764,737658,71326,68,965.520942408377
3 Ave & E 62 St,40.76312584,-73.96526895,3471,2476638,23394,63,713.5229040622299
3 Ave & E 71 St,40.76873687,-73.96119945,1592,3593643,2377708,63,2257.313442211055
3 Ave & E 72 St,40.7699426,-73.96060712,2033,1596425,87164,62,785.2557796360059
3 Ave & E 95 St,40.784596798848916,-73.94968539476396,1931,1394559,91118,65,722.1952356292077
3 Ave & Schermerhorn St,40.68683208,-73.9796772,2596,2021079,86695,62,778.5358243451464
3 St & 3 Ave,40.675070500000004,-73.98775226,2126,1395259,106543,65,656.2836312323612
3 St & 7 Ave,40.67038370000001,-73.97839676,1802,1136858,20226,63,630.8867924528302
3 St & Hoyt St,40.6777287,-73.99364123,1272,799264,16956,65,628.3522012578617
3 St & Prospect Park West,40.668132,-73.97363831,3545,2932252,78507,62,827.1514809590973
30 Ave & 21 St,40.77037429999999,-73.9286078,428,1223539,907299,93,2858.7359813084113
31 Ave & 14 St,40.7682,-73.9322662,529,304088,4382,68,574.8355387523629
31 Ave & 30 St,40.7647,-73.9240312,741,427012,11117,61,576.2645074224022
31 Ave & 34 St,40.763154,-73.920827,1238,1184674,430763,66,956.9256865912763
31 Ave & Crescent St,40.765834600000005,-73.9265474,750,550302,68018,77,733.736
31 Ave & Steinway St,40.76129389728909,-73.916916847229,957,657085,51150,71,686.6091954022988
31 St & 23 Ave,40.7747878,-73.91255509999999,2286,1914270,176788,64,837.3884514435696
31 St & 35 Ave,40.75820464696758,-73.92832159996033,344,178642,2854,85,519.3081395348837
31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,1161,679978,26271,63,585.6830318690784
31 St & Broadway,40.761584,-73.925921,1771,1072222,42521,62,605.4330886504799
31 St & Hoyt Ave N,40.771152799999996,-73.9170074,836,686079,185224,61,820.6686602870814
31 St & Newtown Ave,40.7675487799971,-73.92093345522879,1432,993907,64361,65,694.0691340782123
31 St & Northern Blvd,40.75186951421875,-73.93349289894103,568,471508,7593,113,830.1197183098592
31 St & Thomson Ave,40.74469738,-73.93540375,869,1040563,11506,64,1197.4257767548906
34 Ave & 13 St,40.763875299999995,-73.9364848,295,199431,5621,61,676.0372881355933
34 Ave & 21 St,40.762813799999996,-73.9342862,578,425866,11036,61,736.7923875432526
34 Ave & 38 St,40.756913,-73.921631,2046,1376704,6729,67,672.8758553274682
34 St & 35 Ave,40.756933200000006,-73.92622309999999,725,464751,44762,61,641.0358620689656
35 Ave & 10 St,40.763154819103725,-73.93985509872438,509,305479,8209,65,600.1552062868369
35 Ave & 37 St,40.7557327,-73.92366109999999,884,726969,41709,62,822.3631221719457
35 St & 34 Ave,40.7580583,-73.92427509999999,573,305190,2992,62,532.6178010471205
35 St & Broadway,40.760339,-73.9222427,724,530458,70844,65,732.6767955801105
36 Ave & 10 St,40.7614376,-73.9411265,470,341522,4264,69,726.6425531914894
36 Ave & 31 St,40.75651272984955,-73.92957486212252,372,247078,5210,77,664.1881720430108
37 Ave & 35 St,40.7531106,-73.9279917,560,512610,34930,90,915.375
37 St & 24 Ave,40.7701477,-73.9120938,520,347191,6044,100,667.675
39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,476,873481,89512,66,1835.0441176470588
4 Ave & 2 St,40.674613422475815,-73.98501142859459,889,650146,56657,67,731.3228346456693
4 Ave & 9 St,40.6705135,-73.98876585,1463,2107790,519145,64,1440.7313738892685
40 Ave & 9 St,40.75742,-73.945133,458,408431,6418,63,891.7707423580786
40 Ave & Crescent St,40.7535992020056,-73.9379560947418,309,300765,72160,61,973.3495145631068
43 St & Broadway,40.7577284,-73.9166368,1159,975527,50621,94,841.6971527178603
44 Dr & 21 St,40.748000000000005,-73.94609270000001,2092,1385593,10569,65,662.3293499043978
44 Dr & Jackson Ave,40.74718234,-73.9432635,2154,2358251,564818,64,1094.8240482822655
45 Rd & 11 St,40.74708586,-73.94977234,2131,1433904,16076,71,672.8784608165181
46 Ave & 5 St,40.74731,-73.95451,2989,3035538,775798,74,1015.5697557711609
47 Ave & 31 St,40.743,-73.93561,744,851275,5592,77,1144.1868279569892
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,138,312908,207276,120,2267.449275362319
48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,410,425556,6892,65,1037.9414634146342
48 Ave & 5 St,40.74436328706688,-73.95587325096129,695,402575,6075,62,579.2446043165468
49 Ave & 21 St,40.74252,-73.948852,842,658675,46357,84,782.2743467933492
5 Ave & 3 St,40.672815500000006,-73.98352355,2690,2276024,144494,65,846.1055762081785
5 Ave & E 103 St,40.792255299999994,-73.95249933,3559,3720121,148949,62,1045.27142455746
5 Ave & E 126 St,40.806979999999996,-73.94174699999999,872,1122644,248264,68,1287.4357798165138
5 Ave & E 29 St,40.7451677,-73.98683077,9979,7846063,342470,61,786.2574406253132
5 Ave & E 63 St,40.766368,-73.971518,2774,3637545,84933,61,1311.2995674116798
5 Ave & E 73 St,40.77282817,-73.96685276,5928,7486215,338281,61,1262.8567813765183
