,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
1 Ave & E 110 St,40.7923272,-73.9383,3789,3184910,201136,62,840.5674320401162
1 Ave & E 16 St,40.73221853,-73.98165557,23461,18445038,444224,61,786.1999914752142
1 Ave & E 18 St,40.73381219196632,-73.9805442094803,16192,12106171,215588,61,747.663722826087
1 Ave & E 30 St,40.74144387,-73.97536082,11969,9535009,161684,61,796.6420753613502
1 Ave & E 44 St,40.75001986,-73.96905301,10712,11210896,484663,62,1046.57356235997
1 Ave & E 62 St,40.761227399999996,-73.96094022,13418,12636392,221366,61,941.7492919958265
1 Ave & E 68 St,40.76500525,-73.95818491,17649,18121438,1033006,61,1026.7685421270328
1 Ave & E 78 St,40.77140426,-73.9535166,13521,11180502,82918,61,826.8990459285556
1 Ave & E 94 St,40.78172120000001,-73.94594000000001,4606,5657214,664650,64,1228.2270950933564
1 Pl & Clinton St,40.6809591,-73.99905709,3155,2396497,41837,63,759.5870047543582
10 Ave & W 28 St,40.75066386,-74.00176802,297,319445,7600,152,1075.5723905723905
10 Hudson Yards,40.752957,-74.00264,1147,1008146,5526,78,878.9415867480384
10 St & 2 Ave,40.671907,-73.993612,123,104244,2973,207,847.5121951219512
10 St & 5 Ave,40.6686273,-73.98700053,2062,2137311,352136,75,1036.5232783705142
10 St & 7 Ave,40.666207799999995,-73.98199886,3435,3887917,755053,66,1131.8535662299855
11 Ave & W 27 St,40.751396,-74.00522600000001,18905,19718254,1107953,61,1043.0179317640836
11 Ave & W 41 St,40.76030096,-73.99884222,15968,14934102,133823,62,935.251878757515
11 Ave & W 59 St,40.771496710544405,-73.99046033620834,15773,18296610,627475,61,1159.9955620363912
11 St & 35 Ave,40.76274420000001,-73.9391141,393,296281,5603,61,753.8956743002544
11 St & 43 Ave,40.7519071,-73.94791190000001,804,886831,54687,61,1103.023631840796
12 Ave & W 40 St,40.76087502,-74.00277668,32877,44755173,1704081,61,1361.2912674514098
12 St & 4 Ave,40.668603000000004,-73.99043940000001,1353,1933855,509507,63,1429.3089430894308
14 St & 5 Ave,40.666287,-73.98895053,3399,3353790,36793,64,986.6990291262136
14 St & 7 Ave,40.663779,-73.98396846,3485,2957489,50164,63,848.6338593974175
19 St & 24 Ave,40.777455200000006,-73.9225403,1762,1763443,167759,95,1000.8189557321226
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,1930,6307614,1285703,63,3268.1937823834196
2 Ave & 9 St,40.6724811,-73.99331394,696,720175,76860,75,1034.7341954022988
2 Ave & E 104 St,40.789210499999996,-73.94370784,3560,2607432,9798,62,732.4247191011236
2 Ave & E 122 St,40.8006721,-73.9349,1585,2136677,266211,77,1348.0611987381703
2 Ave & E 31 St,40.74290902,-73.97706058,16975,15376388,554555,61,905.8255081001473
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,7755,6947612,147712,63,895.8880722114765
2 Ave & E 96 St,40.7839636,-73.94716729999999,7570,7862424,1646000,61,1038.6293262879788
2 Ave & E 99 St,40.786258600000004,-73.94552579,2278,4067375,2086313,61,1785.5026338893767
21 St & 31 Dr,40.7659,-73.930819,1933,1657920,236454,67,857.6927056389032
21 St & 36 Ave,40.760185299999996,-73.9362726,406,283196,10473,76,697.5270935960591
21 St & 38 Ave,40.7576314,-73.9391224,534,791706,252841,71,1482.5955056179776
21 St & 43 Ave,40.75052534,-73.94594845,1142,927041,5573,61,811.7697022767076
21 St & Hoyt Ave S,40.774645,-73.92370600000001,1217,1100334,13475,61,904.1364009860313
21 St & Queens Plaza North,40.75325964,-73.94335788,2874,2655314,79664,61,923.9088378566458
23 Ave & 27 St,40.776165,-73.9153175,854,802064,71463,71,939.1850117096019
24 Ave & 26 St,40.774591,-73.918544,1509,1039230,26814,61,688.6878727634195
24 Ave & 29 St,40.7729,-73.91614200000001,1374,1304820,182099,66,949.650655021834
24 St & 41 Ave,40.752708500000004,-73.9397405,1766,1651032,35005,61,934.8992072480181
27 Ave & 4 St,40.7747175,-73.93378940000001,556,1176760,240980,65,2116.4748201438847
27 Ave & 9 St,40.7739825,-73.93091340000001,932,839600,45504,62,900.8583690987125
27 St & Hunter St,40.7485,-73.941275,2409,2261975,26114,62,938.9684516396845
28 Ave & 35 St,40.7671,-73.9169858,1630,1963154,677562,64,1204.3889570552146
28 Ave & 44 St,40.76408932350689,-73.9106512069702,1414,1072435,81238,66,758.440594059406
28 St & 36 Ave,40.757186,-73.93271899999999,958,740059,8872,72,772.5041753653445
28 St & 38 Ave,40.754876,-73.934326,1462,1200112,55258,66,820.8700410396717
28 St & 41 Ave,40.751047,-73.93796999999999,2744,2584364,120790,62,941.8236151603498
3 Ave & 14 St,40.6685455,-73.99333264,1798,2529233,675987,61,1406.6924360400444
3 Ave & Carroll St,40.677027,-73.9865,1326,1131598,40405,64,853.3921568627451
3 Ave & E 100 St,40.787721399999995,-73.94728331,1350,1317342,141715,67,975.8088888888889
3 Ave & E 112 St,40.795508,-73.94160600000001,1303,3689177,2179192,65,2831.294704528012
3 Ave & E 62 St,40.76312584,-73.96526895,5642,5100581,332007,67,904.0377525700106
3 Ave & E 71 St,40.76873687,-73.96119945,2386,2010276,11133,64,842.5297569153395
3 Ave & E 72 St,40.7699426,-73.96060712,3203,2895248,60312,71,903.9175772713081
3 Ave & E 95 St,40.784596798848916,-73.94968539476396,2941,2435908,49726,62,828.2584155049303
3 Ave & Schermerhorn St,40.68683208,-73.9796772,4950,6640108,886409,62,1341.4359595959595
3 St & 3 Ave,40.675070500000004,-73.98775226,3930,4257197,1216698,62,1083.2562340966922
3 St & 7 Ave,40.67038370000001,-73.97839676,4462,3659682,95841,61,820.1887046167637
3 St & Hoyt St,40.6777287,-73.99364123,1939,1449245,64015,75,747.4187725631768
3 St & Prospect Park West,40.668132,-73.97363831,6802,8488215,599284,61,1247.8998823875331
30 Ave & 21 St,40.77037429999999,-73.9286078,967,818588,37495,72,846.5232678386764
31 Ave & 14 St,40.7682,-73.9322662,1122,986143,70599,68,878.9153297682709
31 Ave & 30 St,40.7647,-73.9240312,1553,1926447,500233,64,1240.4681262073407
31 Ave & 34 St,40.763154,-73.920827,2538,2685355,355959,63,1058.0594956658786
31 Ave & Crescent St,40.765834600000005,-73.9265474,1436,1165163,62601,67,811.3948467966574
31 Ave & Steinway St,40.76129389728909,-73.916916847229,2063,1599257,64747,63,775.2094037809017
31 St & 23 Ave,40.7747878,-73.91255509999999,5136,3864799,244955,61,752.4920171339564
31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,1625,1109283,120823,64,682.6356923076924
31 St & Broadway,40.761584,-73.925921,4030,2642131,54382,83,655.6156327543424
31 St & Hoyt Ave N,40.771152799999996,-73.9170074,866,704776,14467,65,813.8290993071594
31 St & Newtown Ave,40.7675487799971,-73.92093345522879,4570,3527891,262488,61,771.9673960612691
31 St & Northern Blvd,40.75186951421875,-73.93349289894103,1252,1369991,244105,70,1094.2420127795526
31 St & Thomson Ave,40.74469738,-73.93540375,1568,2025791,24380,61,1291.9585459183672
34 Ave & 13 St,40.763875299999995,-73.9364848,569,746241,356155,63,1311.4956063268892
34 Ave & 21 St,40.762813799999996,-73.9342862,980,813679,24271,61,830.284693877551
34 Ave & 38 St,40.756913,-73.921631,3788,3086906,82182,63,814.9171066525871
34 St & 35 Ave,40.756933200000006,-73.92622309999999,1346,917935,9619,64,681.9725111441307
35 Ave & 10 St,40.763154819103725,-73.93985509872438,1243,896394,8526,61,721.1536604987932
35 Ave & 37 St,40.7557327,-73.92366109999999,1725,1546564,50517,61,896.5588405797101
35 St & 34 Ave,40.7580583,-73.92427509999999,1280,934511,80915,62,730.08671875
35 St & Broadway,40.760339,-73.9222427,1484,1091633,50287,62,735.6017520215634
36 Ave & 10 St,40.7614376,-73.9411265,1565,2041731,138802,61,1304.6204472843451
36 Ave & 31 St,40.75651272984955,-73.92957486212252,1682,1357887,173721,74,807.3049940546967
37 Ave & 35 St,40.7531106,-73.9279917,1088,1156472,104362,62,1062.9338235294117
37 St & 24 Ave,40.7701477,-73.9120938,997,814312,48275,69,816.7622868605818
39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,979,1907689,66678,65,1948.6098059244127
4 Ave & 2 St,40.674613422475815,-73.98501142859459,402,4515176,1185932,73,11231.781094527363
4 Ave & 9 St,40.6705135,-73.98876585,2714,2885217,246269,62,1063.0865880619012
40 Ave & 9 St,40.75742,-73.945133,1031,1048140,42309,92,1016.6246362754607
40 Ave & Crescent St,40.7535992020056,-73.9379560947418,537,459957,5065,61,856.5307262569833
43 St & Broadway,40.7577284,-73.9166368,2535,2675425,142740,62,1055.3944773175542
44 Dr & 21 St,40.748000000000005,-73.94609270000001,3388,3432847,577425,61,1013.237012987013
44 Dr & Jackson Ave,40.74718234,-73.9432635,4694,5127660,494407,61,1092.3860247123987
45 Rd & 11 St,40.74708586,-73.94977234,3716,3295495,63553,63,886.8393433799785
46 Ave & 5 St,40.74731,-73.95451,5361,3833734,96829,61,715.115463532923
47 Ave & 31 St,40.743,-73.93561,1388,1769213,50569,63,1274.649135446686
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,723,646442,55461,61,894.1106500691563
48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,697,802959,7689,65,1152.0215208034433
48 Ave & 5 St,40.74436328706688,-73.95587325096129,1437,1353296,49304,61,941.7508698677801
49 Ave & 21 St,40.74252,-73.948852,1727,1440227,65709,63,833.9473074696004
5 Ave & 3 St,40.672815500000006,-73.98352355,5118,4748164,175357,70,927.7381789761625
5 Ave & E 103 St,40.792255299999994,-73.95249933,7613,10664224,757044,61,1400.7912780769736
