,,,tripduration,tripduration,tripduration,tripduration,tripduration
5 Ave & E 126 St,40.806979999999996,-73.94174699999999,1593,6712603,3379585,72,4213.812303829253
5 Ave & E 29 St,40.7451677,-73.98683077,16656,14063450,335287,61,844.3473823246878
5 Ave & E 63 St,40.766368,-73.971518,7084,10840763,167357,63,1530.3166290231507
5 Ave & E 73 St,40.77282817,-73.96685276,17614,24723403,546031,61,1403.6222890882252
5 Ave & E 78 St,40.77632142182271,-73.96427392959596,12330,19901437,1903285,61,1614.0662611516625
5 Ave & E 88 St,40.78307,-73.95939,17556,29608053,1274126,61,1686.4919685577581
5 Ave & E 93 St,40.785785100000005,-73.957481,6017,8856033,183264,63,1471.8352999833803
5 St & 51 Ave,40.7423737,-73.9566,1262,1919633,622283,61,1521.1038034865294
5 St & 6 Ave,40.670483600000004,-73.98208968,1917,1401310,14152,64,730.9911319770474
5 St & Market St,40.6999974843885,-73.97440128028394,1245,1241414,62195,67,997.1196787148594
6 Ave & 12 St,40.666318100000005,-73.9854617,2612,2401844,26902,63,919.542113323124
6 Ave & 9 St,40.668127,-73.98377641,3984,3561185,205711,62,893.8717369477912
6 Ave & Broome St,40.72430832160217,-74.00473035871983,14073,15017829,946571,61,1067.1377105094862
6 Ave & Canal St,40.72243797,-74.00566443,15366,16973301,1086955,61,1104.601132370168
6 Ave & W 33 St,40.74901271,-73.98848395,8591,7181650,352140,61,835.9504132231405
6 St & 7 Ave,40.668662700000006,-73.97988067,2444,2026432,89784,61,829.1456628477905
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,16809,24026501,845225,61,1429.3831280861443
7 Ave & Park Pl,40.67761470000001,-73.97324283,6276,4435269,307128,61,706.703154875717
7 St & 3 Ave,40.67260298150126,-73.98983001708984,1890,1607608,7365,62,850.5862433862434
7 St & 5 Ave,40.670492200000005,-73.98541675,2296,1975374,49590,65,860.3545296167248
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,33124,28777259,443660,61,868.7736686390532
8 Ave & W 33 St,40.751551,-73.993934,25394,23118628,488103,61,910.3972591950854
8 Ave & W 52 St,40.76370739,-73.9851615,15745,15301096,884729,61,971.8066687837409
9 Ave & W 18 St,40.74317449,-74.00366443,4356,3833068,36998,64,879.951331496786
9 Ave & W 22 St,40.7454973,-74.00197139,6251,4665490,97770,61,746.35898256279
9 Ave & W 28 St,40.74937024193277,-73.99923384189607,12310,10971689,329978,61,891.2826157595451
9 Ave & W 45 St,40.76019252,-73.9912551,17083,16266064,860554,61,952.1784229936194
9 St & 44 Rd,40.74966,-73.9521,1732,2011829,282079,67,1161.5640877598153
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,1819,5378342,1179701,63,2956.7575590984056
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,1963,5658340,709173,67,2882.4961793173716
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,2474,4271211,713695,70,1726.4393694421988
Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,2270,12381353,3100420,66,5454.340528634361
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,5349,4087433,346780,61,764.1489998130492
Albany Ave & Fulton St,40.6800105,-73.938475,919,13141298,2532056,67,14299.562568008705
Allen St & Hester St,40.71605866,-73.99190759,14367,12799965,390465,61,890.9281687199833
Allen St & Rivington St,40.72019576,-73.98997825,15122,13756185,536491,61,909.6802671604286
Allen St & Stanton St,40.722055,-73.989111,19142,18380935,1373598,61,960.2410928847561
Amsterdam Ave & W 119 St,40.8086249,-73.9596214,1969,2554236,587989,76,1297.2249873031997
Amsterdam Ave & W 125 St,40.813358,-73.956461,2513,13678294,1964853,63,5443.013927576601
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,4962,4385313,25038,63,883.779322853688
Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,14404,12149004,156421,61,843.4465426270481
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,8984,7992336,71794,62,889.6188780053428
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,8684,7832906,70476,61,901.9928604329801
Astoria Park S & Shore Blvd,40.7767,-73.927631,1852,2050049,93137,61,1106.9379049676027
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,4668,7847256,2244834,63,1681.0745501285346
Atlantic Ave & Furman St,40.69165183,-73.99997859999999,9383,12672296,408759,62,1350.559096237877
Avenue C & E 18 St,40.730563000000004,-73.973984,8042,8687705,675757,63,1080.2915941308133
Avenue D & E 12 St,40.72580614,-73.97422494,5002,5169334,274760,66,1033.453418632547
Avenue D & E 3 St,40.72082834,-73.97793172,7140,8240716,469932,64,1154.1619047619047
Avenue D & E 8 St,40.72368361,-73.97574813,6463,7578180,880163,61,1172.5483521584404
Baltic St & 5 Ave,40.6795766,-73.97854971,4258,4335815,540595,62,1018.2750117426021
Bank St & Hudson St,40.73652889,-74.00618026,12329,10826097,208328,61,878.100170330116
Bank St & Washington St,40.7361967,-74.00859207,11182,11487797,437025,61,1027.3472545161867
Banker St & Meserole Ave,40.72606,-73.95621,4339,4559829,428583,61,1050.893984789122
Barclay St & Church St,40.71291224,-74.01020234,11952,11529181,150047,62,964.623577643909
Barrow St & Hudson St,40.73172428,-74.00674436,17886,15575762,694342,61,870.8354019903835
Bayard St & Baxter St,40.71602118,-73.99974372,10516,9716049,163370,62,923.9301065043743
Bayard St & Leonard St,40.71915571696044,-73.94885390996933,3313,2792197,488144,65,842.800181104739
Bedford Ave & Bergen St,40.676368,-73.95291800000001,3740,4954390,1215142,61,1324.7032085561498
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,7762,7264016,196662,61,935.8433393455296
Bedford Ave & S 9 St,40.70853074,-73.96408963,2289,4638554,703590,66,2026.4543468763652
Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,4544,5779023,1132758,61,1271.7920334507041
Bergen St & Smith St,40.686744299999994,-73.99063168,10696,8916890,326251,62,833.6658563949139
Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,4883,6558418,2265874,64,1343.112430882654
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,2625,2324946,120312,62,885.6937142857142
Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,6434,5557075,185827,63,863.7045383898042
Berry St & N 8 St,40.7190095,-73.95852515,8377,7962569,417652,61,950.5275158171183
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,5215,7302300,1565744,64,1400.2492809204218
Boerum St & Broadway,40.70538077,-73.94976519,2461,2394783,353039,62,973.0934579439253
Bond St & Bergen St,40.6849668,-73.98620772,3808,3426114,130766,66,899.7148109243698
Bond St & Fulton St,40.68962188790333,-73.98304268717766,7376,7733351,1540836,61,1048.4478036876355
Broad St & Bridge St,40.70365182,-74.01167797,3996,4764780,49788,61,1192.3873873873874
Broadway & 12 St,40.7668,-73.93477740000002,1330,1064501,9472,75,800.3766917293233
Broadway & Battery Pl,40.70463334,-74.01361706,14159,17603034,121478,61,1243.2399180733103
Broadway & Berry St,40.71044554,-73.96525063,7971,7882725,544980,63,988.9254798645088
Broadway & E 14 St,40.73454567,-73.99074142,32606,24792318,287638,61,760.3606084769674
Broadway & E 22 St,40.740343200000005,-73.98955109,33676,28601726,1063884,63,849.3207625608742
Broadway & Moylan Pl,40.8143256,-73.9590255,5407,13379965,1622928,62,2474.563528759016
Broadway & Roebling St,40.70924826276157,-73.96063148975372,6386,5161707,251329,61,808.2848418415283
Broadway & W 122 St,40.8120562,-73.9612547,1556,2037381,94300,61,1309.3708226221079
Broadway & W 25 St,40.74286877312112,-73.98918628692627,24176,21719540,1319744,61,898.3926207809398
Broadway & W 29 St,40.7462009,-73.98855723,22165,18726605,491814,61,844.8727723889015
Broadway & W 32 St,40.74854862,-73.98808416,5977,4708995,73654,61,787.8526016396186
Broadway & W 36 St,40.75097711,-73.98765428,4395,3558970,70917,61,809.7770193401593
Broadway & W 37 St,40.75172632,-73.98753523,15824,14916126,1197259,61,942.6267694641051
Broadway & W 38 St,40.75299641,-73.98721619,12901,14234225,1952891,61,1103.342764126812
Broadway & W 41 St,40.75513557,-73.98658032,20746,17064346,256600,61,822.5366817699797
Broadway & W 49 St,40.76068327096592,-73.98452728986742,19416,17993060,686455,61,926.7130201895344
Broadway & W 51 St,40.76228826,-73.98336183,11419,11443863,761287,61,1002.1773360189159
Broadway & W 53 St,40.76344058,-73.98268129,12210,9765046,35202,61,799.7580671580672
Broadway & W 56 St,40.7652654,-73.98192338,12910,12178800,768323,61,943.3617350890783
Broadway & W 60 St,40.76915505,-73.98191841,31281,38025203,773067,61,1215.6006201847767
Broadway & Whipple St,40.7016657,-73.9437303,2581,6993944,1523757,70,2709.7807051530413
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,1276,1943676,108159,70,1523.257053291536
Bus Slip & State St,40.701907,-74.013942,9000,13489372,369627,61,1498.8191111111112
Bushwick Ave & McKibbin St,40.705517,-73.93936,665,3033443,1695150,61,4561.5684210526315
Bushwick Ave & Powers St,40.71247661,-73.94100005,2927,3722475,548763,61,1271.7714383327639
Bushwick Ave & Stagg St,40.709897,-73.94008000000001,392,470383,65125,68,1199.9566326530612
Butler St & Court St,40.6849894,-73.99440329,2690,2740565,298808,61,1018.7973977695167
Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966,4012,5029838,461840,61,1253.698404785643
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,7840,13347285,2603909,61,1702.4598214285713
Cadman Plaza West & Montague St,40.69383,-73.990539,6536,5806424,334530,63,888.37576499388
Cambridge Pl & Gates Ave,40.68488,-73.96304,2660,1954984,8316,64,734.9563909774436
Canal St & Rutgers St,40.71427487,-73.98990025,17404,15585430,1721029,61,895.5085037922316
Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,3859,4076920,687942,61,1056.4705882352941
Carlton Ave & Flushing Ave,40.697787,-73.973736,3600,4136315,251880,61,1148.9763888888888
Carlton Ave & Park Ave,40.69580705,-73.97355569,2713,4194611,1667979,61,1546.1153704386288
Carmine St & 6 Ave,40.73038599,-74.00214988,25514,23468710,493867,61,919.8365603198245
Carroll St & 5 Ave,40.6751622,-73.9814832,4020,6018533,2572595,76,1497.147512437811
Carroll St & 6 Ave,40.6740886,-73.9787282,4259,3091602,361265,69,725.8985677389059
Carroll St & Bond St,40.6786115,-73.99037292,3943,4894257,1170438,70,1241.2520923154957
Carroll St & Columbia St,40.6830456,-74.00348559,3293,2871130,93711,63,871.8888551472821
Carroll St & Franklin Ave,40.6679411,-73.9588,661,1882074,484249,67,2847.3131618759458
Carroll St & Smith St,40.680611,-73.99475825,5679,6420258,1727903,63,1130.5261489698892
Carroll St & Washington Ave,40.6686744,-73.9618148,1394,2214659,412978,61,1588.7080344332855
Cathedral Pkwy & Broadway,40.804213,-73.96699104,5304,5654628,81836,61,1066.106334841629
Catherine St & Monroe St,40.71117444,-73.99682619,6689,5843263,72613,61,873.5630139034236
Cedar St & Myrtle Ave,40.697842,-73.926241,1953,3543489,527423,63,1814.3824884792627
Center Blvd & 48 Ave,40.745038,-73.957539,2490,2699724,101905,61,1084.2265060240964
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,3313,4487111,265081,64,1354.3951101720495
Central Ave & Flushing Ave,40.702831,-73.9333,1047,2500986,1334950,61,2388.7163323782233
Central Ave & Starr Street,40.700003,-73.92834,1551,4250324,1342601,61,2740.3765312701485
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,11937,20202979,861571,61,1692.467035268493
Central Park S & 6 Ave,40.76590936,-73.97634151,24655,42466906,1038522,61,1722.4459947272358
Central Park W & W 96 St,40.791270000000004,-73.964839,12618,15852057,79784,61,1256.3050404184498
Central Park West & W 100 St,40.794066608185524,-73.96286845207214,7849,12338823,807245,61,1572.024843929163
Central Park West & W 102 St,40.795346,-73.96186,3260,4553191,320290,61,1396.6843558282208
Central Park West & W 68 St,40.7734066,-73.97782542,17551,22579923,737748,61,1286.531992479061
Central Park West & W 72 St,40.77579376683666,-73.97620573639871,19944,25281053,233587,61,1267.6019354191737
Central Park West & W 76 St,40.77896784,-73.97374737,10986,16087375,586698,62,1464.3523575459676
Central Park West & W 85 St,40.78472675,-73.96961715,13622,17948612,500429,61,1317.6194391425636
Centre St & Chambers St,40.71273266,-74.0046073,17940,23703489,236357,61,1321.2647157190636
Centre St & Worth St,40.71494807,-74.00234482,7025,7293030,163022,65,1038.1537366548043
Cherry St,40.71219906,-73.97948148,7218,8314579,256114,62,1151.9228318093656
Christopher St & Greenwich St,40.73291553,-74.00711384,29555,26760277,737226,61,905.4399255625106
Clark St & Henry St,40.69760127,-73.99344559,9532,8447123,1022948,63,886.1857952161141
Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,3895,3806421,423506,63,977.2582798459564
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,3531,3563040,724890,61,1009.0739167374682
Clermont Ave & Park Ave,40.69573398,-73.97129668,2437,2386295,541726,61,979.1936807550267
Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,23935,20714730,269113,61,865.4576979318989
Cliff St & Fulton St,40.70831794366396,-74.0050408244133,6378,6449943,297142,61,1011.2798682972718
Cliff St & Fulton St,40.70838,-74.00495,1908,1928628,43803,63,1010.811320754717
Cliff St & Fulton St (Old),40.70831794366396,-74.0050408244133,1608,1618497,10637,64,1006.5279850746268
Clinton Ave & Flushing Ave,40.69794,-73.96986848,2870,4270425,768076,62,1487.952961672474
Clinton Ave & Myrtle Ave,40.693261,-73.968896,7577,6278711,615109,63,828.6539527517488
Clinton St & 4 Place,40.6783563,-74.00014502,2877,2633518,161028,61,915.3694820994091
Clinton St & Centre St,40.67434,-74.00194698,807,792271,85537,61,981.7484510532838
Clinton St & Grand St,40.71559509,-73.9870295,15185,12924586,328314,61,851.1416529469872
Clinton St & Joralemon St,40.69239502,-73.99337909,6992,6777500,1380533,64,969.3220823798626
Clinton St & Union St,40.683116399999996,-73.99785267,3733,2829318,147222,63,757.9207072060005
Coffey St & Conover St,40.677236,-74.015665,1914,2314200,71210,62,1209.090909090909
Columbia Heights & Cranberry St,40.70037867,-73.99548059,2783,3048331,73696,61,1095.3399209486165
Columbia St & Degraw St,40.6859296,-74.00242364,3367,3512028,148201,61,1043.0733590733591
Columbia St & Kane St,40.68763155,-74.0016256,3233,3621293,437684,62,1120.1030003093103
Columbia St & Lorraine St,40.6747055,-74.00755720000001,294,592533,285696,61,2015.4183673469388
Columbia St & Rivington St,40.71739973,-73.98016555,6234,6488004,476915,65,1040.7449470644851
Columbia St & W 9 St,40.6769993,-74.00647134,762,1039575,255101,69,1364.2716535433071
Columbus Ave & W 103 St,40.7969347,-73.9643412291,1158,1548677,182590,68,1337.3721934369603
Columbus Ave & W 72 St,40.7770575,-73.97898475,17012,15688090,262131,61,922.1778744415707
Columbus Ave & W 95 St,40.7919557,-73.968087,8981,7776737,59836,61,865.9099209442155
Commerce St & Van Brunt St,40.681211700000006,-74.00860912,1175,1409737,144568,66,1199.776170212766
Concord St & Bridge St,40.69766564,-73.98476437,2907,3761794,310089,64,1294.046783625731
Congress St & Clinton St,40.6881529,-73.99520919,4980,3801774,109101,63,763.4084337349398
Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,22322,18704746,1237715,61,837.9511692500672
Court St & Nelson St,40.6763947,-73.99869893,2489,2326310,44741,63,934.6364001607071
Court St & State St,40.6902375,-73.99203074,7614,6652591,307821,64,873.7314158129761
Crescent St & 30 Ave,40.768692,-73.9249574,1341,925339,9797,75,690.0365398956003
Crescent St & 34 Ave,40.76108,-73.930562,1272,1108729,67311,65,871.6422955974842
Crescent St & 35 Ave,40.7596276,-73.93214549999999,983,789662,15350,61,803.3184130213632
Crescent St & Broadway,40.7633589,-73.92864709999999,2159,1736710,120341,62,804.4048170449282
Crescent St & Ditmars Blvd,40.7787185,-73.9145645,1124,970616,44423,68,863.5373665480427
Crown St & Bedford Ave,40.666563000000004,-73.95674100000001,850,2348229,880635,73,2762.6223529411764
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,4956,5724568,549029,61,1155.0782889426957
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,2347,3094846,577004,87,1318.6391137622497
DeKalb Ave & Hudson Ave,40.689888,-73.981013,6617,7592199,996587,61,1147.3778147196615
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,5510,5422935,583814,70,984.1987295825771
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,5626,7419422,1141986,61,1318.7739068610024
Dean St & 4 Ave,40.68312489,-73.97895137,7753,6652934,961176,66,858.1109248033019
Dean St & Franklin Ave,40.67759206937376,-73.95563721656801,3166,4211239,1206494,62,1330.1449778900821
Dean St & Hoyt St,40.686444200000004,-73.98759104,3041,2892310,181356,62,951.1048997040447
Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,2441,1724653,35533,63,706.5354362965998
Degraw St & Smith St,40.6829151,-73.99318208,3593,3229187,154886,61,898.7439465627609
Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,4595,6952547,2922656,69,1513.067899891186
Devoe St & Morgan Ave,40.713811,-73.93515,767,1894097,851495,85,2469.4876140808346
Ditmars Blvd & 19 St,40.78145,-73.9183302,2121,3340675,814869,63,1575.0471475719
Division Av & Hooper St,40.70684203101325,-73.9544353965357,2748,5651957,2330556,67,2056.7529112081515
Division Ave & Marcy Ave,40.70708701,-73.95796783,1394,8829507,2343428,67,6333.936154949784
Division St & Bowery,40.71413089,-73.99704679999999,9671,9479541,615152,61,980.2027711715438
Dock 72 Way & Market St,40.69985,-73.97140999999999,715,618368,20214,88,864.8503496503497
Douglass St & 3 Ave,40.6802133,-73.98432695,4316,4209407,285175,63,975.3028266913809
Douglass St & 4 Ave,40.67927879999999,-73.98154004,3336,2670127,24401,61,800.3977817745804
Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,3903,3155037,176562,61,808.3620292083014
