,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
Rivington St & Chrystie St,40.72110063,-73.99192540000001,6818,6090275,21189,60,893.2641537107656
Rivington St & Ridge St,40.71850211,-73.98329859,4667,4192072,17463,60,898.2369830726377
S 3 St & Bedford Ave,40.71260486,-73.96264403,2785,4026026,20524,60,1445.6107719928186
S 4 St & Wythe Ave,40.71285887,-73.96590294,2730,3593111,18315,60,1316.1578754578754
S 5 Pl & S 4 St,40.710451,-73.960876,7119,9868832,21465,60,1386.2666104789998
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,1772,1563156,13983,60,882.1422121896162
Sands St & Gold St,40.69986937,-73.98271933,890,1062280,19335,71,1193.573033707865
Sands St & Navy St,40.699773,-73.979927,321,278270,16792,64,866.8847352024923
Shevchenko Pl & E 6 St,40.728145,-73.990214,2408,1640021,17811,60,681.0718438538206
Shevchenko Pl & E 7 St,40.728145,-73.990214,6596,4658837,21284,62,706.3124620982413
South End Ave & Liberty St,40.711512,-74.01575600000001,14375,14933364,16873,60,1038.8427130434782
South St & Gouverneur Ln,40.70355377,-74.00670227,7069,9639317,20367,60,1363.6040458339228
South St & Whitehall St,40.70122128,-74.01234218,5685,7932078,21302,61,1395.2643799472296
Spruce St & Nassau St,40.71146364,-74.00552427,5383,5438903,17872,60,1010.3851012446592
St James Pl & Oliver St,40.71307916,-73.99851193,4719,3678277,21020,61,779.4611146429328
St James Pl & Pearl St,40.71117416,-74.00016545,3110,2902514,12670,63,933.2842443729903
St Marks Pl & 1 Ave,40.72779126,-73.98564945,8596,7042366,20672,60,819.2608189855747
St Marks Pl & 2 Ave,40.7284186,-73.98713956,11470,9087065,21277,60,792.2462946817785
Stanton St & Chrystie St,40.72229346,-73.99147535,8264,6564671,21228,60,794.3696757018394
Stanton St & Mangin St,40.71782143,-73.97628939,3816,3759494,15544,60,985.1923480083857
State St,40.70251526,-74.01427023,1621,2266312,16773,67,1398.0950030845158
State St & Smith St,40.68926942,-73.98912867,4924,4910728,17966,61,997.3046303818035
Suffolk St & Stanton St,40.72066442,-73.98517977,9540,7952084,18637,65,833.5517819706499
Sullivan St & Washington Sq,40.73047747,-73.99906065,9606,7559958,17799,60,787.0037476577139
University Pl & E 14 St,40.73492695,-73.99200509,17941,13423021,21547,60,748.1757427122234
Vesey Pl & River Terrace,40.715337899999994,-74.01658354,16987,18390800,20023,60,1082.6396656266556
W 11 St & 6 Ave,40.73532427,-73.99800419,4336,3106653,12818,60,716.4790129151291
W 13 St & 5 Ave,40.73543934,-73.99453948,264,246703,21386,67,934.4810606060606
W 13 St & 6 Ave,40.73649403,-73.99704374,13566,9745543,18621,60,718.3799941029043
W 13 St & 7 Ave,40.73781509,-73.99994661,8672,6453079,21423,61,744.1281134686346
W 14 St & The High Line,40.74195138,-74.00803013,7299,8960531,18581,61,1227.6381696122758
W 15 St & 7 Ave,40.73935542,-73.99931783,10721,7880122,16732,60,735.0174424027609
W 16 St & The High Line,40.74334935,-74.00681753,10547,9589266,18801,61,909.1937043709112
W 17 St & 8 Ave,40.74177603,-74.00149746,13550,9411965,16819,60,694.609963099631
W 18 St & 6 Ave,40.73971301,-73.99456405,16217,11836933,20288,60,729.9089227354011
W 20 St & 11 Ave,40.746745000000004,-74.007756,13344,12415077,19829,60,930.3864658273382
W 20 St & 7 Ave,40.74238787,-73.99726235,10708,7686968,20448,60,717.8714979454613
W 20 St & 8 Ave,40.74345335,-74.00004031,8102,5859234,16543,60,723.1836583559615
W 21 St & 6 Ave,40.74173969,-73.99415556,21859,15247271,19760,60,697.5282949814722
W 22 St & 10 Ave,40.74691959,-74.00451887,13977,11692993,16554,61,836.5881805823853
W 22 St & 8 Ave,40.74475148,-73.99915362,10434,7858476,16634,61,753.1604370327775
W 24 St & 7 Ave,40.74487634,-73.99529885,13903,9665180,20418,60,695.1866503632309
W 25 St & 6 Ave,40.74395411,-73.99144871,11474,8650487,21460,60,753.9207774097961
W 26 St & 10 Ave,40.749717753,-74.002950346,8746,7639960,16686,60,873.5376171964326
W 26 St & 8 Ave,40.74734825,-73.99723551,11696,8383878,17960,60,716.8158344733242
W 27 St & 7 Ave,40.746646999999996,-73.993915,9076,6743537,18924,64,743.0076024680476
W 29 St & 9 Ave,40.750072700000004,-73.99839279,7339,5767722,13249,60,785.9002588908571
W 31 St & 7 Ave,40.749156,-73.9916,16674,11702374,20094,60,701.8336332013914
W 33 St & 7 Ave,40.75019995,-73.99093085,13510,9753564,18712,61,721.9514433752776
W 34 St & 11 Ave,40.75594159,-74.0021163,5530,6158117,20750,60,1113.5835443037975
W 37 St & 10 Ave,40.75660359,-73.9979009,8424,7148674,21164,61,848.608024691358
W 37 St & 5 Ave,40.75038009,-73.98338988,7246,5249514,17987,60,724.4706044714325
